Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM155R60J475ME87D","C_0402_1005Metric_L",4.240060,-9.239440,270.000000,top
"C2","GRM033R61A104ME15D","C_0201_0603Metric_L",4.140060,-7.605720,180.000000,top
"C3","C1210C107M8PACTU","C_1210_3225Metric_L",2.080920,-2.774640,0.000000,top
"C6","100nF 100V 0603","C_0603_1608Metric_L",4.090060,-5.985200,90.000000,top
"C7","GRM033R61A104ME15D","C_0201_0603Metric_L",-21.320760,-2.651760,0.000000,top
"C31","1uF","C_0402_1005Metric_L",-13.563560,-33.039960,270.000000,top
"C32","10uF","C_0402_1005Metric_L",-16.840160,-27.934560,270.000000,top
"C33","10uF","C_0402_1005Metric_L",-16.840160,-29.661760,270.000000,top
"C34","GRM033R61A225ME47D","C_0201_0603Metric_L",-14.436720,12.100440,180.000000,top
"C35",".1uF","C_0402_1005Metric_L",-17.779960,-27.934560,270.000000,top
"C36",".1uF","C_0402_1005Metric_L",-17.779960,-29.687160,270.000000,top
"C37","10uF","C_0402_1005Metric_L",-18.897560,-35.249760,90.000000,top
"C38","10uF","C_0402_1005Metric_L",-14.427160,-31.312760,270.000000,top
"C39","GRM033R61A225ME47D","C_0201_0603Metric_L",-21.932760,11.410860,0.000000,top
"C40",".1uF","C_0402_1005Metric_L",-17.983160,-35.249760,90.000000,top
"C41",".1uF","C_0402_1005Metric_L",-13.563560,-31.312760,270.000000,top
"C42","10uF","C_0402_1005Metric_L",-14.427160,-29.610960,90.000000,top
"C43",".1uF","C_0402_1005Metric_L",-13.563560,-29.610960,90.000000,top
"C44","10uF","C_0402_1005Metric_L",-22.783760,-28.188560,90.000000,top
"C45","GRM155R60J475ME87D","C_0402_1005Metric_L",-21.106160,5.835860,180.000000,top
"C46",".1uF","C_0402_1005Metric_L",-21.843960,-28.188560,90.000000,top
"C47","GRM033R61A225ME47D","C_0201_0603Metric_L",-14.436720,13.247620,180.000000,top
"C48","GRM033R61A225ME47D","C_0201_0603Metric_L",-14.436720,11.421020,180.000000,top
"C49","10nF","C_0402_1005Metric_L",-19.557960,-32.100160,90.000000,top
"C50",".1uF","C_0402_1005Metric_L",-16.662360,-35.275160,270.000000,top
"C51","GRM155R60J475ME87D","C_0402_1005Metric_L",-15.131160,5.860860,0.000000,top
"C52","GRM033R61A104ME15D","C_0201_0603Metric_L",-21.937840,12.115880,180.000000,top
"C53","GRM033R61A104ME15D","C_0201_0603Metric_L",-15.751880,11.421020,0.000000,top
"C54",".01uF","C_0402_1005Metric_L",-15.900360,-29.661760,90.000000,top
"C55","10uF","C_0402_1005Metric_L",-19.811960,-35.224360,90.000000,top
"D1","BAS316","SOD_323_250X125X110L30X32L",1.218560,-5.299400,180.000000,top
"D2","LED_Small_ALT","LED_SC80X160X65L40L",-13.588960,-27.502760,90.000000,top
"J_coax1","U_FL-R-SMT_10_","Coax_Conn_U.FL",-22.908260,-5.283200,180.000000,top
"L1","LQM18PN3R3MGHD","L_0603_1608Metric_L",0.161160,-7.443640,90.000000,top
"R1","ERJ-1GEF1022C","R_0201_0603Metric_ERJ_L",0.226060,-9.260840,90.000000,top
"R2","ERJ-1GEF1022C","R_0201_0603Metric_ERJ_L",0.210820,-10.408920,270.000000,top
"R12","1K","R_0402_1005Metric_ERJ_L",-14.452560,-33.039960,270.000000,top
"R13","500","R_0402_1005Metric_ERJ_L",-15.872460,-27.899360,90.000000,top
"R14","DNL","R_0201_0603Metric_ERJ_L",-17.513300,6.144260,0.000000,top
"R15","DNL","R_0201_0603Metric_ERJ_L",-18.798540,6.139180,180.000000,top
"R16","ERJ-1GEF1022C","R_0201_0603Metric_ERJ_L",-20.683220,11.422380,180.000000,top
"R17","DNL","R_0402_1005Metric_ERJ_L",-22.809160,-29.890360,270.000000,top
"R18","ERJ-1GEF1022C","R_0201_0603Metric_ERJ_L",-20.673400,12.115880,180.000000,top
"R19","ERJ-1GNJ622C","R_0201_0603Metric_ERJ_L",-20.668320,13.247620,180.000000,top
"R20","ERJ-1GEF3741C","R_0201_0603Metric_ERJ_L",-21.932760,13.247620,180.000000,top
"R21","ERJ-1GNJ622C","R_0201_0603Metric_ERJ_L",-15.751880,13.247620,180.000000,top
"R22","ERJ-1GEF3741C","R_0201_0603Metric_ERJ_L",-15.751880,12.087940,0.000000,top
"U1","MAX14574EWL+","BGA_15_NP50_3X5_155X255X69B31N",2.078760,-7.791140,90.000000,top
"U2","DS90UB913Q-Q1","QFN_33_P50_500X500X80L40X24T310L",-17.465040,-6.273800,90.000000,top
"U5","LTC3218","SON_11_P50_300X200X80L40X25T239X64L",-21.106160,8.710860,90.000000,top
"U7","LTC3218","SON_11_P50_300X200X80L40X25T239X64L",-15.131160,8.735860,270.000000,top
"U8","TPL0102-100RUCR","QFN_14_P40_200X200X40L40X20L",-18.106160,12.285860,0.000000,top
"U9","TPS79328-EP","SOT-23-5",-17.271960,-32.176360,180.000000,top
"U10","SiT_2.5mmx2mm","OSC_CC250X200X80L70X75L",-21.945560,-33.979760,270.000000,top
